,Unnamed: 0,docid,string,label,start,end,Remove
61133,61133,7240,ALONSO PEREZ,PER,53,55,0
61135,61135,7241,ALONSO PEREZ,PER,0,2,0
61139,61139,7242,ALONSO PEREZ,PER,7,9,0
61147,61147,7243,ALONSO PEREZ,PER,0,2,0
61152,61152,7244,ALONSO PEREZ,PER,32,34,0
61160,61160,7244,ALONSO PEREZ,PER,131,133,0
61173,61173,7245,ALONSO PEREZ,PER,60,62,0
61176,61176,7246,ALONSO PEREZ,PER,7,9,0
61183,61183,7247,ALONSO PEREZ,PER,7,9,0
61191,61191,7248,ALONSO PEREZ,PER,7,9,0
61198,61198,7249,ALONSO PEREZ,PER,7,9,0
61210,61210,7250,ALONSO PEREZ,PER,7,9,0
61217,61217,7251,ALONSO PEREZ,PER,0,2,0
61228,61228,7252,ALONSO PEREZ,PER,34,36,0
61245,61245,7254,ALONSO PEREZ,PER,40,42,0
61247,61247,7255,ALONSO PEREZ,PER,0,2,0
61252,61252,7256,ALONSO PEREZ,PER,27,29,0
61256,61256,7257,ALONSO PEREZ,PER,0,2,0
61257,61257,7258,ALONSO PEREZ,PER,7,9,0
61123,61123,7239,ALONSO PEREZ,PER,25,27,0
61110,61110,7238,ALONSO PEREZ,PER,7,9,0
61104,61104,7237,ALONSO PEREZ,PER,31,33,0
61098,61098,7236,ALONSO PEREZ,PER,77,79,0
60972,60972,7218,ALONSO PEREZ,PER,15,17,0
60974,60974,7218,ALONSO PEREZ,PER,99,101,0
60975,60975,7218,ALONSO PEREZ,PER,119,121,0
60980,60980,7219,ALONSO PEREZ,PER,7,9,0
60984,60984,7220,ALONSO PEREZ,PER,7,9,0
60987,60987,7221,ALONSO PEREZ,PER,7,9,0
60995,60995,7222,ALONSO PEREZ,PER,4,6,0
60997,60997,7223,ALONSO PEREZ,PER,0,2,0
61006,61006,7224,ALONSO PEREZ,PER,16,18,0
56754,56754,6580,ALONSO PEREZ,PER,35,37,0
61011,61011,7225,ALONSO PEREZ,PER,7,9,0
61027,61027,7227,ALONSO PEREZ,PER,7,9,0
61036,61036,7228,ALONSO PEREZ,PER,7,9,0
61047,61047,7229,ALONSO PEREZ,PER,11,13,0
61058,61058,7230,ALONSO PEREZ,PER,0,2,0
61060,61060,7231,ALONSO PEREZ,PER,7,9,0
61068,61068,7232,ALONSO PEREZ,PER,3,5,0
61072,61072,7233,ALONSO PEREZ,PER,27,29,0
61080,61080,7234,ALONSO PEREZ,PER,63,65,0
61085,61085,7235,ALONSO PEREZ,PER,7,9,0
61019,61019,7226,ALONSO PEREZ,PER,7,9,0
61261,61261,7259,ALONSO PEREZ,PER,0,2,0
61265,61265,7260,ALONSO PEREZ,PER,42,44,0
61273,61273,7261,ALONSO PEREZ,PER,39,41,0
61459,61459,7285,ALONSO PEREZ,PER,45,47,0
61466,61466,7286,ALONSO PEREZ,PER,38,40,0
61469,61469,7287,ALONSO PEREZ,PER,0,2,0
61475,61475,7288,ALONSO PEREZ,PER,40,42,0
61480,61480,7289,ALONSO PEREZ,PER,15,17,0
61482,61482,7290,ALONSO PEREZ,PER,0,2,0
61483,61483,7291,ALONSO PEREZ,PER,0,2,0
61490,61490,7292,ALONSO PEREZ,PER,0,2,0
61496,61496,7292,ALONSO PEREZ,PER,77,79,0
61447,61447,7284,ALONSO PEREZ,PER,17,19,0
61500,61500,7293,ALONSO PEREZ,PER,10,12,0
61506,61506,7295,ALONSO PEREZ,PER,0,2,0
61512,61512,7296,ALONSO PEREZ,PER,0,2,0
61519,61519,7297,ALONSO PEREZ,PER,0,2,0
61521,61521,7298,ALONSO PEREZ,PER,5,7,0
61525,61525,7299,ALONSO PEREZ,PER,0,2,0
61533,61533,7300,ALONSO PEREZ,PER,0,2,0
61540,61540,7301,ALONSO PEREZ,PER,0,2,0
61546,61546,7302,ALONSO PEREZ,PER,17,19,0
61552,61552,7303,ALONSO PEREZ,PER,6,8,0
61503,61503,7294,ALONSO PEREZ,PER,6,8,0
61559,61559,7305,ALONSO PEREZ,PER,0,2,0
61434,61434,7283,ALONSO PEREZ,PER,0,2,0
61425,61425,7281,ALONSO PEREZ,PER,17,19,0
61278,61278,7261,ALONSO PEREZ,PER,127,129,0
61282,61282,7262,ALONSO PEREZ,PER,7,9,0
61289,61289,7263,ALONSO PEREZ,PER,7,9,0
61295,61295,7264,ALONSO PEREZ,PER,7,9,0
61301,61301,7265,ALONSO PEREZ,PER,9,11,0
61305,61305,7266,ALONSO PEREZ,PER,3,5,0
61325,61325,7267,ALONSO PEREZ,PER,173,175,0
61327,61327,7268,ALONSO PEREZ,PER,7,9,0
61332,61332,7269,ALONSO PEREZ,PER,7,9,0
61429,61429,7282,ALONSO PEREZ,PER,0,2,0
61343,61343,7270,ALONSO PEREZ,PER,34,36,0
61359,61359,7272,ALONSO PEREZ,PER,3,5,0
61365,61365,7273,ALONSO PEREZ,PER,0,2,0
61372,61372,7274,ALONSO PEREZ,PER,7,9,0
61379,61379,7275,ALONSO PEREZ,PER,3,5,0
61392,61392,7276,ALONSO PEREZ,PER,56,58,0
61400,61400,7278,ALONSO PEREZ,PER,16,18,0
61403,61403,7278,ALONSO PEREZ,PER,47,49,0
61405,61405,7279,ALONSO PEREZ,PER,0,2,0
61418,61418,7280,ALONSO PEREZ,PER,29,31,0
61357,61357,7271,ALONSO PEREZ,PER,30,32,0
61815,61815,7348,ALONSO PEREZ,PER,16,18,0
60742,60742,7181,ALONSO PEREZ,PER,44,46,0
61833,61833,7350,ALONSO PEREZ,PER,32,34,0
62313,62313,7416,ALONSO PEREZ,PER,17,19,0
62296,62296,7415,ALONSO PEREZ,PER,14,16,0
62291,62291,7414,ALONSO PEREZ,PER,24,26,0
62280,62280,7413,ALONSO PEREZ,PER,0,2,0
51859,51859,5884,ALONSO PEREZ,PER,27,29,0
62272,62272,7412,ALONSO PEREZ,PER,0,2,0
62264,62264,7411,ALONSO PEREZ,PER,0,2,0
62256,62256,7410,ALONSO PEREZ,PER,23,25,0
52522,52522,6000,ALONSO PEREZ,PER,0,2,0
62249,62249,7409,ALONSO PEREZ,PER,0,2,0
62245,62245,7408,ALONSO PEREZ,PER,0,2,0
62240,62240,7407,ALONSO PEREZ,PER,0,2,0
62232,62232,7406,ALONSO PEREZ,PER,258,260,0
62226,62226,7406,ALONSO PEREZ,PER,220,222,0
61822,61822,7349,ALONSO PEREZ,PER,0,2,0
62215,62215,7406,ALONSO PEREZ,PER,40,42,0
62206,62206,7405,ALONSO PEREZ,PER,0,2,0
62200,62200,7404,ALONSO PEREZ,PER,0,2,0
62198,62198,7403,ALONSO PEREZ,PER,44,46,0
62196,62196,7403,ALONSO PEREZ,PER,25,27,0
53429,53429,6135,ALONSO PEREZ,PER,61,63,0
62190,62190,7402,ALONSO PEREZ,PER,0,2,0
62186,62186,7401,ALONSO PEREZ,PER,0,2,0
53436,53436,6136,ALONSO PEREZ,PER,23,25,0
62180,62180,7400,ALONSO PEREZ,PER,0,2,0
62176,62176,7399,ALONSO PEREZ,PER,0,2,0
62170,62170,7398,ALONSO PEREZ,PER,18,20,0
62162,62162,7397,ALONSO PEREZ,PER,16,18,0
62155,62155,7396,ALONSO PEREZ,PER,0,2,0
62153,62153,7395,ALONSO PEREZ,PER,10,12,0
62211,62211,7406,ALONSO PEREZ,PER,4,6,0
62147,62147,7394,ALONSO PEREZ,PER,7,9,0
62318,62318,7418,ALONSO PEREZ,PER,0,2,0
62327,62327,7420,ALONSO PEREZ,PER,0,2,0
47087,47087,5213,ALONSO PEREZ,PER,63,65,0
47451,47451,5270,ALONSO PEREZ,PER,0,2,0
46442,46442,5132,ALONSO PEREZ,PER,41,43,0
48463,48463,5409,ALONSO PEREZ,PER,57,59,0
48483,48483,5414,ALONSO PEREZ,PER,0,2,0
48488,48488,5415,ALONSO PEREZ,PER,3,5,0
48490,48490,5415,ALONSO PEREZ,PER,11,13,0
48657,48657,5441,ALONSO PEREZ,PER,0,2,0
64067,64067,7671,ALONSO PEREZ,PER,63,65,0
45217,45217,4968,ALONSO PEREZ,PER,0,2,0
